model_name,dataset,mae,std,confidence_interval_mae
Kernel Ridge Linear Kernel,dataset_12_cutoff_42,8.329332766520874,0.6789653219348459,8.3293 ±0.9426
Kernel Ridge Linear Kernel,dataset_16_cutoff_54,8.858455014754142,0.8067648413183939,8.8585 ±1.1200
Kernel Ridge Linear Kernel,dataset_3_cutoff_15,3.7349998612897295,0.2194561990621681,3.7350 ±0.3047
Kernel Ridge Linear Kernel,dataset_13_cutoff_45,8.502597096912794,0.729009362698008,8.5026 ±1.0120
Kernel Ridge Linear Kernel,dataset_15_cutoff_51,8.781297682501716,0.7988254519223437,8.7813 ±1.1089
Kernel Ridge Linear Kernel,dataset_7_cutoff_27,6.644685206250924,0.5702429394360842,6.6447 ±0.7916
Kernel Ridge Linear Kernel,dataset_6_cutoff_24,6.076177136538938,0.5707049955003255,6.0762 ±0.7923
Kernel Ridge Linear Kernel,dataset_10_cutoff_36,7.870949917498178,0.5609157752949638,7.8709 ±0.7787
Kernel Ridge Linear Kernel,dataset_4_cutoff_18,4.777641492321318,0.5129069752192487,4.7776 ±0.7120
Kernel Ridge Linear Kernel,dataset_2_cutoff_12,2.9515093339405327,0.1458791657470514,2.9515 ±0.2025
Kernel Ridge Linear Kernel,dataset_5_cutoff_21,5.4831424616566995,0.5542811758318644,5.4831 ±0.7695
Kernel Ridge Linear Kernel,dataset_1_cutoff_9,2.1923385603171437,0.1306135106038312,2.1923 ±0.1813
Kernel Ridge Linear Kernel,dataset_11_cutoff_39,8.095142760998794,0.6269405489294849,8.0951 ±0.8703
Kernel Ridge Linear Kernel,dataset_9_cutoff_33,7.570528958035117,0.5641159533127392,7.5705 ±0.7831
Kernel Ridge Linear Kernel,dataset_14_cutoff_48,8.655912799577445,0.7662466700148447,8.6559 ±1.0637
Kernel Ridge Linear Kernel,dataset_8_cutoff_30,7.200575972208673,0.612440584730357,7.2006 ±0.8502
Kernel Ridge RBF Kernel,dataset_12_cutoff_42,7.003094170494774,0.8363845110573419,7.0031 ±1.1611
Kernel Ridge RBF Kernel,dataset_16_cutoff_54,7.713613996257109,1.0460164789617472,7.7136 ±1.4521
Kernel Ridge RBF Kernel,dataset_3_cutoff_15,1.990119775252866,0.105626203849437,1.9901 ±0.1466
Kernel Ridge RBF Kernel,dataset_13_cutoff_45,7.313885246142294,0.9812372237876056,7.3139 ±1.3622
Kernel Ridge RBF Kernel,dataset_15_cutoff_51,7.593848660283437,1.0022462719222416,7.5938 ±1.3913
Kernel Ridge RBF Kernel,dataset_7_cutoff_27,5.156633013059256,0.2360217435404388,5.1566 ±0.3277
Kernel Ridge RBF Kernel,dataset_6_cutoff_24,4.517042651913753,0.158449549527934,4.5170 ±0.2200
Kernel Ridge RBF Kernel,dataset_10_cutoff_36,6.443254161152554,0.5539418991284352,6.4433 ±0.7690
Kernel Ridge RBF Kernel,dataset_4_cutoff_18,2.934370371201584,0.1629627672119401,2.9344 ±0.2262
Kernel Ridge RBF Kernel,dataset_2_cutoff_12,1.1716681099517317,0.1300196473339866,1.1717 ±0.1805
Kernel Ridge RBF Kernel,dataset_5_cutoff_21,3.8010293697749327,0.103271284085668,3.8010 ±0.1434
Kernel Ridge RBF Kernel,dataset_1_cutoff_9,0.4624955052993737,0.088737073690083,0.4625 ±0.1232
Kernel Ridge RBF Kernel,dataset_11_cutoff_39,6.754119839135635,0.7283757547309263,6.7541 ±1.0111
Kernel Ridge RBF Kernel,dataset_9_cutoff_33,6.189321526855475,0.4591477235049728,6.1893 ±0.6374
Kernel Ridge RBF Kernel,dataset_14_cutoff_48,7.471048456121606,0.980692371104714,7.4710 ±1.3614
Kernel Ridge RBF Kernel,dataset_8_cutoff_30,5.7951529570250395,0.3447698972057176,5.7952 ±0.4786
Kernel Ridge Polynomial Kernel,dataset_12_cutoff_42,7.043608403456984,0.7736705266994249,7.0436 ±1.0740
Kernel Ridge Polynomial Kernel,dataset_16_cutoff_54,7.7172078299667906,0.6372428412920329,7.7172 ±0.8846
Kernel Ridge Polynomial Kernel,dataset_3_cutoff_15,1.9758794606983192,0.098753808952327,1.9759 ±0.1371
Kernel Ridge Polynomial Kernel,dataset_13_cutoff_45,7.358281501836364,0.6651690888071914,7.3583 ±0.9234
Kernel Ridge Polynomial Kernel,dataset_15_cutoff_51,7.6370729831800706,0.6443960675012294,7.6371 ±0.8946
Kernel Ridge Polynomial Kernel,dataset_7_cutoff_27,5.13577682843888,0.2533710015830956,5.1358 ±0.3517
Kernel Ridge Polynomial Kernel,dataset_6_cutoff_24,4.4984210356100895,0.1728828117030485,4.4984 ±0.2400
Kernel Ridge Polynomial Kernel,dataset_10_cutoff_36,6.483515734778879,0.5657247245828761,6.4835 ±0.7854
Kernel Ridge Polynomial Kernel,dataset_4_cutoff_18,2.923159335597639,0.1669459831348154,2.9232 ±0.2318
Kernel Ridge Polynomial Kernel,dataset_2_cutoff_12,1.1946346173927629,0.1258065442130807,1.1946 ±0.1746
Kernel Ridge Polynomial Kernel,dataset_5_cutoff_21,3.767029595043815,0.1229536461671846,3.7670 ±0.1707
Kernel Ridge Polynomial Kernel,dataset_1_cutoff_9,0.4658320189002583,0.0937562377136294,0.4658 ±0.1302
Kernel Ridge Polynomial Kernel,dataset_11_cutoff_39,6.818944934060262,0.6858712047735006,6.8189 ±0.9521
Kernel Ridge Polynomial Kernel,dataset_9_cutoff_33,6.1304340379272375,0.4092437338480243,6.1304 ±0.5681
Kernel Ridge Polynomial Kernel,dataset_14_cutoff_48,7.523954048828995,0.6731259407816516,7.5240 ±0.9344
Kernel Ridge Polynomial Kernel,dataset_8_cutoff_30,5.708471329988639,0.3135568685065177,5.7085 ±0.4353
