model_name,dataset,mae,std,confidence_interval_mae
Kernel Ridge Linear Kernel,dataset_12_cutoff_42,8.281086319752552,0.441841027827604,8.2811 ±0.6134
Kernel Ridge Linear Kernel,dataset_16_cutoff_54,9.304180436334404,0.6383725476954136,9.3042 ±0.8862
Kernel Ridge Linear Kernel,dataset_3_cutoff_15,3.7349998612897295,0.2194561990621659,3.7350 ±0.3047
Kernel Ridge Linear Kernel,dataset_13_cutoff_45,8.564146014556513,0.5287762502932332,8.5641 ±0.7341
Kernel Ridge Linear Kernel,dataset_15_cutoff_51,9.087129927546338,0.6131543224198965,9.0871 ±0.8512
Kernel Ridge Linear Kernel,dataset_7_cutoff_27,6.408546465440976,0.2955197924117929,6.4085 ±0.4102
Kernel Ridge Linear Kernel,dataset_6_cutoff_24,5.747800127123429,0.2511731794900376,5.7478 ±0.3487
Kernel Ridge Linear Kernel,dataset_10_cutoff_36,7.657593762084976,0.4003606329888091,7.6576 ±0.5558
Kernel Ridge Linear Kernel,dataset_4_cutoff_18,4.344548431589824,0.1206010613919303,4.3445 ±0.1674
Kernel Ridge Linear Kernel,dataset_2_cutoff_12,2.9515093339405345,0.145879165747044,2.9515 ±0.2025
Kernel Ridge Linear Kernel,dataset_5_cutoff_21,5.0887833926661274,0.2162931283319739,5.0888 ±0.3003
Kernel Ridge Linear Kernel,dataset_1_cutoff_9,2.1923385603170233,0.1306135106036051,2.1923 ±0.1813
Kernel Ridge Linear Kernel,dataset_11_cutoff_39,7.9935894923328545,0.4878236331580282,7.9936 ±0.6772
Kernel Ridge Linear Kernel,dataset_9_cutoff_33,7.33068061854825,0.210988109659011,7.3307 ±0.2929
Kernel Ridge Linear Kernel,dataset_14_cutoff_48,8.825841036562553,0.5805466970998868,8.8258 ±0.8059
Kernel Ridge Linear Kernel,dataset_8_cutoff_30,6.912045824723256,0.2228544367306804,6.9120 ±0.3094
Kernel Ridge RBF Kernel,dataset_12_cutoff_42,7.380849828518757,0.5077285279359134,7.3808 ±0.7048
Kernel Ridge RBF Kernel,dataset_16_cutoff_54,8.383534828092404,0.580190593411124,8.3835 ±0.8054
Kernel Ridge RBF Kernel,dataset_3_cutoff_15,1.9901197752529585,0.1056262038494904,1.9901 ±0.1466
Kernel Ridge RBF Kernel,dataset_13_cutoff_45,7.660168203388809,0.5576383200769476,7.6602 ±0.7741
Kernel Ridge RBF Kernel,dataset_15_cutoff_51,8.177726750426382,0.5783827844942081,8.1777 ±0.8029
Kernel Ridge RBF Kernel,dataset_7_cutoff_27,5.232690228978724,0.4441517503057564,5.2327 ±0.6166
Kernel Ridge RBF Kernel,dataset_6_cutoff_24,4.551405869541296,0.3856029022713495,4.5514 ±0.5353
Kernel Ridge RBF Kernel,dataset_10_cutoff_36,6.6705697070912535,0.4967545784090718,6.6706 ±0.6896
Kernel Ridge RBF Kernel,dataset_4_cutoff_18,2.9046201065826804,0.2029176542845875,2.9046 ±0.2817
Kernel Ridge RBF Kernel,dataset_2_cutoff_12,1.171668109951726,0.1300196473339883,1.1717 ±0.1805
Kernel Ridge RBF Kernel,dataset_5_cutoff_21,3.7874784679520257,0.3043155299163469,3.7875 ±0.4225
Kernel Ridge RBF Kernel,dataset_1_cutoff_9,0.4624955052993734,0.0887370736900826,0.4625 ±0.1232
Kernel Ridge RBF Kernel,dataset_11_cutoff_39,7.025557998613057,0.5086290130033366,7.0256 ±0.7061
Kernel Ridge RBF Kernel,dataset_9_cutoff_33,6.25956093878771,0.4869672227195825,6.2596 ±0.6760
Kernel Ridge RBF Kernel,dataset_14_cutoff_48,7.911130534189996,0.6025068739432216,7.9111 ±0.8364
Kernel Ridge RBF Kernel,dataset_8_cutoff_30,5.805844875467322,0.4800725740910725,5.8058 ±0.6664
Kernel Ridge Polynomial Kernel,dataset_12_cutoff_42,7.47135120782729,0.5149267458651301,7.4714 ±0.7148
Kernel Ridge Polynomial Kernel,dataset_16_cutoff_54,8.384511741382337,0.5910402163487571,8.3845 ±0.8205
Kernel Ridge Polynomial Kernel,dataset_3_cutoff_15,1.9758794606983336,0.0987538089523327,1.9759 ±0.1371
Kernel Ridge Polynomial Kernel,dataset_13_cutoff_45,7.738682134537891,0.5750977776271847,7.7387 ±0.7984
Kernel Ridge Polynomial Kernel,dataset_15_cutoff_51,8.186598562901542,0.5874392507844965,8.1866 ±0.8155
Kernel Ridge Polynomial Kernel,dataset_7_cutoff_27,5.2686003397812,0.4680601628235876,5.2686 ±0.6498
Kernel Ridge Polynomial Kernel,dataset_6_cutoff_24,4.596445439098937,0.4077087844665402,4.5964 ±0.5660
Kernel Ridge Polynomial Kernel,dataset_10_cutoff_36,6.756533153059981,0.5260691755168061,6.7565 ±0.7303
Kernel Ridge Polynomial Kernel,dataset_4_cutoff_18,2.915287014003652,0.2141076370214262,2.9153 ±0.2972
Kernel Ridge Polynomial Kernel,dataset_2_cutoff_12,1.1946346173927649,0.1258065442130785,1.1946 ±0.1746
Kernel Ridge Polynomial Kernel,dataset_5_cutoff_21,3.801071483018563,0.3235180054313827,3.8011 ±0.4491
Kernel Ridge Polynomial Kernel,dataset_1_cutoff_9,0.4658320189002592,0.0937562377136312,0.4658 ±0.1302
Kernel Ridge Polynomial Kernel,dataset_11_cutoff_39,7.108757173799537,0.5449734645981662,7.1088 ±0.7565
Kernel Ridge Polynomial Kernel,dataset_9_cutoff_33,6.302190621511356,0.5391277016567575,6.3022 ±0.7484
Kernel Ridge Polynomial Kernel,dataset_14_cutoff_48,7.960730249780047,0.6102686012986176,7.9607 ±0.8472
Kernel Ridge Polynomial Kernel,dataset_8_cutoff_30,5.865363973227894,0.5368562096586476,5.8654 ±0.7453
